Acquired Data :90, Time : 07-02-2025 09:20:10
Acquired Data :84, Time : 07-02-2025 09:20:10
Acquired Data :61, Time : 07-02-2025 09:20:10
Acquired Data :16, Time : 07-02-2025 09:20:10
Acquired Data :8, Time : 07-02-2025 09:20:10
Acquired Data :52, Time : 07-02-2025 09:20:10
Acquired Data :77, Time : 07-02-2025 09:20:10
Acquired Data :75, Time : 07-02-2025 09:20:10
Acquired Data :23, Time : 07-02-2025 09:20:10
Acquired Data :94, Time : 07-02-2025 09:20:10
Acquired Data :11, Time : 07-02-2025 09:20:10
Acquired Data :53, Time : 07-02-2025 09:20:10
Acquired Data :52, Time : 07-02-2025 09:20:11
Acquired Data :56, Time : 07-02-2025 09:20:11
Acquired Data :32, Time : 07-02-2025 09:20:11
Acquired Data :89, Time : 07-02-2025 09:20:11
Acquired Data :32, Time : 07-02-2025 09:20:11
Acquired Data :31, Time : 07-02-2025 09:20:11
